N,TimeConsumed(μs),MemoryUsed(KB)
1221,798,2384
1222,775,2384
1223,780,2384
1224,793,2384
1225,780,2384
1226,761,2384
1227,761,2384
1228,753,2384
1229,762,2384
1230,801,2384
1231,772,2384
1232,764,2384
1233,772,2384
1234,767,2384
1235,762,2384
1236,762,2384
1237,771,2400
1238,765,2400
1239,780,2400
1240,797,2400
1241,793,2416
1242,817,2416
1243,823,2416
1244,799,2416
1245,783,2416
1246,784,2416
1247,772,2416
1248,771,2416
1249,797,2416
1250,794,2416
1251,927,2416
1252,846,2432
1253,987,2432
1254,865,2432
1255,892,2432
1256,860,2432
1257,827,2432
1258,840,2432
1259,836,2432
1260,840,2432
1261,840,2432
1262,839,2432
1263,861,2432
1264,885,2432
1265,866,2432
1266,854,2432
1267,865,2432
1268,817,2432
1269,887,2432
1270,821,2432
1271,824,2432
1272,838,2432
1273,840,2432
1274,864,2432
1275,831,2432
1276,842,2432
1277,848,2432
1278,825,2432
1279,797,2432
1280,863,2432
1281,873,2432
1282,806,2432
1283,794,2432
1284,816,2432
1285,797,2432
1286,824,2432
1287,822,2432
1288,809,2432
1289,820,2432
1290,867,2432
1291,813,2448
1292,819,2448
1293,815,2448
1294,811,2448
1295,876,2448
1296,812,2448
1297,861,2448
1298,869,2448
1299,869,2448
1300,828,2448
1301,815,2448
1302,813,2448
1303,811,2448
1304,831,2448
1305,814,2448
1306,820,2448
1307,824,2448
1308,818,2448
1309,812,2448
1310,959,2448
1311,860,2448
1312,885,2448
1313,827,2448
1314,865,2448
1315,836,2448
1316,818,2448
1317,819,2448
1318,823,2448
1319,821,2448
1320,832,2448
1321,924,2448
1322,863,2448
1323,830,2448
1324,835,2448
1325,831,2448
1326,888,2448
1327,848,2448
1328,845,2448
1329,843,2448
1330,905,2448
1331,856,2448
1332,854,2448
1333,895,2448
1334,894,2448
1335,857,2448
1336,843,2448
1337,834,2448
1338,858,2448
1339,875,2448
1340,829,2448
1341,845,2448
1342,836,2448
1343,840,2448
1344,836,2448
1345,841,2448
1346,843,2448
1347,843,2448
1348,832,2448
1349,866,2448
1350,845,2448
1351,846,2448
1352,845,2448
1353,841,2448
1354,902,2448
1355,898,2448
1356,906,2448
1357,870,2448
1358,872,2448
1359,898,2448
1360,882,2448
1361,921,2448
1362,872,2448
1363,877,2448
1364,883,2448
1365,858,2448
1366,867,2448
1367,872,2448
1368,904,2448
1369,893,2448
1370,871,2448
1371,862,2448
1372,883,2448
1373,892,2448
1374,860,2448
1375,857,2448
1376,862,2448
1377,856,2448
1378,903,2448
1379,860,2448
1380,861,2448
1381,864,2448
1382,859,2448
1383,862,2448
1384,864,2448
1385,1011,2448
1386,955,2448
1387,871,2448
1388,869,2448
1389,895,2448
1390,875,2448
1391,869,2448
1392,877,2448
1393,905,2448
1394,869,2448
1395,967,2448
1396,1085,2464
1397,887,2464
1398,904,2464
1399,883,2464
1400,955,2464
1401,896,2464
1402,882,2464
1403,901,2464
1404,901,2464
1405,944,2464
1406,916,2464
1407,883,2464
1408,885,2464
1409,883,2464
1410,895,2464
1411,925,2464
1412,899,2464
1413,903,2464
1414,908,2464
1415,927,2464
1416,888,2464
1417,907,2464
1418,904,2464
1419,984,2464
1420,924,2464
1421,891,2464
1422,885,2464
1423,890,2464
1424,940,2464
1425,917,2464
1426,890,2464
1427,897,2464
1428,893,2464
1429,896,2464
1430,897,2464
1431,942,2464
1432,971,2464
1433,985,2464
1434,902,2464
1435,896,2464
1436,911,2464
1437,916,2464
1438,928,2464
1439,920,2464
1440,915,2464
1441,931,2464
1442,931,2464
1443,910,2464
1444,907,2464
1445,911,2464
1446,904,2464
1447,909,2464
1448,908,2464
1449,909,2464
1450,908,2464
1451,930,2464
1452,910,2464
1453,909,2464
1454,912,2464
1455,911,2464
1456,910,2464
1457,922,2480
1458,912,2480
1459,911,2480
1460,938,2480
1461,922,2496
1462,917,2496
1463,939,2496
1464,930,2496
1465,918,2496
1466,923,2496
1467,922,2496
1468,929,2496
1469,944,2496
1470,922,2496
1471,922,2496
1472,923,2496
1473,923,2496
1474,932,2496
1475,955,2496
1476,922,2496
1477,927,2496
1478,955,2496
1479,929,2496
1480,939,2496
1481,931,2496
1482,931,2496
1483,932,2496
1484,933,2496
1485,941,2496
1486,936,2496
1487,956,2496
1488,934,2496
1489,931,2496
1490,935,2496
1491,936,2496
1492,934,2496
1493,957,2496
1494,937,2496
1495,944,2496
1496,972,2496
1497,942,2496
1498,969,2496
1499,947,2496
1500,937,2496
1501,942,2496
1502,949,2496
1503,939,2496
1504,960,2496
1505,946,2496
1506,943,2496
1507,944,2496
1508,952,2496
1509,942,2496
1510,949,2496
1511,948,2496
1512,961,2496
1513,976,2496
1514,963,2496
1515,976,2496
1516,964,2496
1517,996,2496
1518,992,2496
1519,995,2496
1520,959,2496
1521,1028,2496
1522,1020,2496
1523,974,2512
1524,960,2512
1525,959,2512
1526,958,2512
1527,965,2512
1528,964,2512
1529,955,2512
1530,998,2512
1531,979,2512
1532,985,2512
1533,966,2512
1534,965,2512
1535,969,2512
